,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,cleaned_employees,Gender_clean
10,2014-08-27 11:32:44,31,Male,United States,OH,No,No,Yes,Sometimes,6-25,Yes,Yes,unknown,No,No,No,unknown,unknown,No,No,Some of them,Yes,No,No,unknown,No,unknown,15.0,Male
11,2014-08-27 11:32:49,29,male,Bulgaria,unknown,No,No,No,Never,100-500,Yes,Yes,unknown,unknown,No,No,unknown,unknown,No,No,Yes,Yes,Yes,Yes,unknown,No,unknown,300.0,Male
12,2014-08-27 11:33:23,42,female,United States,CA,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,unknown,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,unknown,63.0,Female
13,2014-08-27 11:33:26,36,Male,United States,CT,No,Yes,No,Never,500-1000,No,Yes,unknown,unknown,No,unknown,unknown,unknown,No,No,Yes,Yes,No,No,unknown,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,750.0,Male
14,2014-08-27 11:33:57,27,Male,Canada,unknown,No,No,No,Never,6-25,No,Yes,unknown,unknown,unknown,unknown,unknown,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,unknown,15.0,Male
15,2014-08-27 11:34:00,29,female,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,unknown,No,No,unknown,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,unknown,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,63.0,Female
16,2014-08-27 11:34:20,23,Male,United Kingdom,unknown,No,No,Yes,Sometimes,26-100,Yes,Yes,unknown,No,unknown,unknown,unknown,Very easy,unceratin,No,Some of them,No,Maybe,Maybe,No,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,63.0,Male
17,2014-08-27 11:34:37,32,Male,United States,TN,No,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,unknown,unknown,unknown,unceratin,No,Some of them,Yes,No,No,No,No,unknown,15.0,Male
18,2014-08-27 11:34:53,46,male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,unknown,Yes,unknown,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,unknown,3.0,Male
19,2014-08-27 11:35:08,36,Male,France,unknown,Yes,Yes,No,Sometimes,6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,unknown,No,unknown,15.0,Male
20,2014-08-27 11:35:12,29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,unceratin,No,Some of them,Some of them,No,No,No,No,unknown,300.0,Male
21,2014-08-27 11:35:24,31,male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,unknown,3.0,Male
22,2014-08-27 11:35:48,46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,unknown,unknown,unceratin,No,Some of them,Yes,No,Maybe,No,No,unknown,63.0,Male
23,2014-08-27 11:36:24,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,unknown,No,No,unknown,unknown,unknown,unceratin,No,No,No,No,Yes,unknown,No,unknown,1001.0,Male
24,2014-08-27 11:36:48,33,male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,unknown,unknown,Yes,Yes,unknown,No,No,Yes,Yes,No,Yes,unknown,No,Relatively new job. Ask again later,63.0,Male
25,2014-08-27 11:37:08,35,male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,unknown,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,1001.0,Male
26,2014-08-27 11:37:23,33,male,United States,TN,No,No,No,Sometimes,1-5,No,Yes,unknown,unknown,No,unknown,unknown,unknown,unceratin,unceratin,Some of them,No,No,No,unknown,No,unknown,3.0,Male
27,2014-08-27 11:37:59,35,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,unknown,unknown,unknown,unknown,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,15.0,Female
28,2014-08-27 11:38:12,34,male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,unknown,unknown,No,unknown,unknown,Somewhat difficult,No,No,Some of them,No,No,No,No,No,unknown,63.0,Male
29,2014-08-27 11:38:18,37,Male,United Kingdom,unknown,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,unknown,Very difficult,Yes,unceratin,Some of them,No,No,Maybe,No,No,unknown,15.0,Male
30,2014-08-27 11:39:03,32,Male,United Kingdom,unknown,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,unknown,unknown,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,unknown,15.0,Male
31,2014-08-27 11:38:55,31,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,unknown,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,unknown,3.0,Male
32,2014-08-27 11:39:31,30,male,United Kingdom,unknown,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,unknown,No,No,No,Yes,Somewhat easy,unceratin,No,Some of them,Yes,No,Yes,unknown,No,unknown,750.0,Male
33,2014-08-27 11:39:36,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,unceratin,No,Some of them,Some of them,Maybe,Yes,unknown,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,63.0,Male
34,2014-08-27 11:40:51,40,female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,unknown,unknown,unceratin,No,Some of them,No,No,Maybe,Yes,No,unknown,3.0,Female
35,2014-08-27 11:41:17,27,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,unknown,Very easy,No,No,Yes,Yes,Maybe,Maybe,unknown,No,unknown,15.0,Male
36,2014-08-27 11:41:37,29,Male,Canada,unknown,No,No,No,Rarely,1-5,No,Yes,No,No,No,No,unknown,Very easy,Yes,unceratin,Some of them,No,No,No,unknown,No,unknown,3.0,Male
37,2014-08-27 11:41:50,38,Male,Portugal,unknown,No,No,No,Sometimes,100-500,No,Yes,No,Yes,No,No,unknown,Somewhat easy,unceratin,No,Some of them,Some of them,No,Maybe,No,No,unknown,300.0,Male
38,2014-08-27 11:42:08,50,M,United States,IN,No,No,No,Sometimes,100-500,No,Yes,Yes,Yes,No,unknown,unknown,unknown,No,No,Some of them,Yes,No,Maybe,unknown,No,unknown,300.0,Male
39,2014-08-27 11:42:15,35,M,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,1001.0,Male
40,2014-08-27 11:42:25,24,Male,United Kingdom,unknown,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,unknown,unknown,unceratin,unceratin,Some of them,No,No,Yes,No,Yes,unknown,15.0,Male
41,2014-08-27 11:42:31,35,Male,United States,MI,No,No,No,Sometimes,More than 1000,Yes,Yes,Yes,unknown,unknown,Yes,unknown,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,unknown,No,unknown,1001.0,Male
42,2014-08-27 11:43:07,27,Male,Canada,unknown,No,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,Very difficult,unceratin,No,Some of them,No,No,No,Yes,No,unknown,3.0,Male
43,2014-08-27 11:43:10,18,Male,Netherlands,unknown,No,No,No,Often,6-25,No,Yes,No,unknown,No,No,unknown,Somewhat difficult,Yes,unceratin,No,Some of them,No,No,No,No,unknown,15.0,Male
44,2014-08-27 11:43:22,30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,unknown,No,No,No,unknown,unknown,No,No,No,No,No,Maybe,unknown,No,unknown,63.0,Male
45,2014-08-27 11:43:36,38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,63.0,Female
46,2014-08-27 11:43:45,28,Male,United Kingdom,unknown,No,No,No,Sometimes,26-100,No,Yes,unknown,unknown,No,No,unknown,unknown,No,unceratin,Some of them,Yes,Maybe,Yes,unknown,No,unknown,63.0,Male
47,2014-08-27 11:43:48,34,Male,United States,TN,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,unknown,unknown,No,No,Yes,Yes,Maybe,Yes,unknown,No,unknown,15.0,Male
48,2014-08-27 11:43:56,26,m,Canada,unknown,Yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,unknown,unknown,No,No,Yes,Yes,No,No,Yes,No,unknown,3.0,Male
49,2014-08-27 11:44:43,30,male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,unknown,unknown,unknown,unceratin,No,Some of them,Yes,No,No,unknown,No,I just started a new job last week hence a lot of don't know's,63.0,Male
50,2014-08-27 11:44:55,22,M,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,unceratin,No,No,No,No,Maybe,unknown,No,unknown,15.0,Male
51,2014-08-27 11:45:32,33,Male,United States,UT,No,No,No,Sometimes,100-500,Yes,Yes,unknown,unknown,unknown,unknown,unknown,unknown,No,No,Some of them,Yes,Maybe,Maybe,unknown,No,unknown,300.0,Male
52,2014-08-27 11:45:33,31,M,United States,unknown,No,No,No,Sometimes,100-500,Yes,Yes,unknown,No,unknown,unknown,unknown,unknown,unceratin,unceratin,Some of them,Some of them,Maybe,Maybe,unknown,No,unknown,300.0,Male
53,2014-08-27 11:45:51,32,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,unknown,unknown,No,No,unknown,unknown,unceratin,No,Some of them,Yes,No,No,unknown,No,unknown,3.0,Male
54,2014-08-27 11:46:36,28,M,Switzerland,unknown,No,No,No,Sometimes,100-500,No,Yes,No,No,No,No,unknown,unknown,No,No,No,No,No,Maybe,unknown,No,unknown,300.0,Male
55,2014-08-27 11:46:49,27,Male-ish,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,unknown,unceratin,No,No,No,No,No,unknown,No,unknown,63.0,Male
56,2014-08-27 11:46:55,32,maile,United States,TN,No,Yes,No,Sometimes,6-25,Yes,Yes,unknown,No,No,No,unknown,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,unknown,15.0,Male
57,2014-08-27 11:47:10,24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,unknown,No,No,No,unknown,unknown,No,unceratin,Some of them,Yes,Yes,Yes,No,No,unknown,63.0,Male
58,2014-08-27 11:47:33,26,Male,United States,TN,No,No,No,Sometimes,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,unknown,No,unknown,63.0,Male
59,2014-08-27 11:47:56,33,male,Canada,unknown,No,Yes,Yes,Often,6-25,Yes,Yes,unknown,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,unknown,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,15.0,Male
60,2014-08-27 11:48:57,44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,unknown,unknown,unknown,Yes,unceratin,Some of them,No,No,Maybe,unknown,Yes,unknown,1001.0,Male
61,2014-08-27 11:49:51,26,Female,Poland,unknown,No,No,Yes,Sometimes,26-100,Yes,Yes,unknown,unknown,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,unknown,63.0,Female
62,2014-08-27 11:50:27,27,Male,United Kingdom,unknown,No,No,No,Never,100-500,No,Yes,Yes,unknown,No,Yes,unknown,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,300.0,Male
63,2014-08-27 11:50:28,26,Male,France,unknown,No,No,No,Sometimes,26-100,No,Yes,No,No,No,No,unknown,Very easy,Yes,No,No,No,No,No,No,Yes,unknown,63.0,Male
64,2014-08-27 11:50:46,35,male,Canada,unknown,No,No,No,Sometimes,6-25,No,Yes,unknown,No,No,No,unknown,Somewhat easy,No,No,Some of them,Yes,No,Maybe,unknown,No,unknown,15.0,Male
65,2014-08-27 11:51:07,40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,unknown,unknown,Yes,unceratin,Some of them,No,No,No,No,Yes,unknown,1001.0,Male
66,2014-08-27 11:51:34,23,Female,Australia,unknown,No,Yes,Yes,Often,1-5,Yes,Yes,No,unknown,No,No,unknown,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.,3.0,Female
67,2014-08-27 11:52:07,36,M,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No,unknown,Yes,unknown,unknown,unceratin,No,Some of them,Some of them,Maybe,Yes,Yes,No,unknown,300.0,Male
68,2014-08-27 11:52:41,31,Female,United States,NM,No,No,No,Sometimes,26-100,Yes,No,unknown,No,unknown,unknown,unknown,unknown,unceratin,No,Some of them,No,No,Maybe,unknown,No,unknown,63.0,Female
69,2014-08-27 11:52:44,34,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,unknown,unknown,unceratin,No,Some of them,No,No,No,unknown,No,unknown,3.0,Male
70,2014-08-27 11:53:05,28,m,France,unknown,No,No,No,Never,26-100,No,Yes,No,No,No,No,unknown,unknown,unceratin,No,Some of them,Some of them,No,No,unknown,No,unknown,63.0,Male
71,2014-08-27 11:53:25,34,male,Canada,unknown,No,No,No,Never,6-25,No,Yes,unknown,unknown,unknown,unknown,unknown,Somewhat easy,No,No,Some of them,Yes,No,No,unknown,No,unknown,15.0,Male
72,2014-08-27 11:54:27,23,Trans-female,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,unceratin,No,Yes,Yes,No,No,No,No,unknown,1001.0,Female
73,2014-08-27 11:56:17,38,Male,United Kingdom,unknown,No,No,No,Sometimes,26-100,No,Yes,No,No,No,unknown,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,unknown,63.0,Male
74,2014-08-27 11:56:29,33,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,unknown,unknown,Yes,unknown,unknown,unknown,unceratin,No,Some of them,Some of them,No,Maybe,Yes,No,unknown,1001.0,Male
75,2014-08-27 11:57:30,19,Male,United Kingdom,unknown,No,No,No,Sometimes,1-5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,unknown,3.0,Male
76,2014-08-27 11:57:33,25,Male,United States,WA,No,No,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,unknown,unknown,No,No,Yes,Yes,Maybe,Yes,Yes,No,unknown,1001.0,Male
77,2014-08-27 11:57:54,31,Male,United States,WA,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,3.0,Male
78,2014-08-27 11:59:31,32,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,unknown,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,unknown,63.0,Male
79,2014-08-27 12:00:02,28,m,Germany,unknown,No,No,No,Never,6-25,Yes,Yes,unknown,No,unknown,unknown,unknown,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,unknown,15.0,Male
80,2014-08-27 12:01:50,38,Male,United States,NY,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,unknown,unknown,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,unknown,300.0,Male
81,2014-08-27 12:02:40,23,Male,United Kingdom,unknown,No,No,No,Never,26-100,No,Yes,Yes,unknown,Yes,unknown,unknown,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,unknown,63.0,Male
82,2014-08-27 12:02:52,30,male,Canada,unknown,No,No,No,Never,26-100,No,No,No,No,No,No,unknown,unknown,No,No,Some of them,Yes,No,No,No,No,unknown,63.0,Male
83,2014-08-27 12:03:30,27,Cis Female,United States,NY,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,unceratin,unceratin,Some of them,Yes,No,Maybe,Yes,No,unknown,3.0,Female
84,2014-08-27 12:05:13,33,Male,United States,CA,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,unknown,unknown,Yes,No,No,No,No,Maybe,No,No,unknown,1001.0,Male
85,2014-08-27 12:05:37,31,Male,United States,TX,No,No,No,Sometimes,26-100,No,Yes,unknown,unknown,No,No,unknown,unknown,No,No,Some of them,Yes,Maybe,Maybe,No,No,unknown,63.0,Male
86,2014-08-27 12:07:08,39,Male,United Kingdom,unknown,Yes,No,Yes,Often,6-25,No,Yes,No,No,No,No,unknown,Very difficult,unceratin,No,Some of them,No,No,Maybe,No,Yes,unknown,15.0,Male
87,2014-08-27 12:10:43,34,female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,unknown,No,unknown,unknown,unknown,Yes,unceratin,Some of them,Some of them,No,No,unknown,No,unknown,750.0,Female
88,2014-08-27 12:11:00,29,F,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,unknown,unknown,unceratin,No,Some of them,Some of them,No,Maybe,No,Yes,unknown,63.0,Female
89,2014-08-27 12:11:07,32,M,United States,IL,No,No,No,Sometimes,500-1000,No,Yes,unknown,No,No,unknown,unknown,unknown,No,No,Some of them,Some of them,No,No,unknown,No,unknown,750.0,Male
90,2014-08-27 12:12:47,31,Male,United States,NY,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,unknown,750.0,Male
91,2014-08-27 12:13:30,40,male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,unknown,63.0,Male
92,2014-08-27 12:14:13,34,Male,United States,OH,No,No,No,Sometimes,26-100,No,Yes,unknown,No,No,No,unknown,Somewhat easy,unceratin,No,Some of them,No,No,Maybe,unknown,No,unknown,63.0,Male
93,2014-08-27 12:15:11,18,something kinda male?,Russia,unknown,No,No,No,Sometimes,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,unknown,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.,63.0,Male
94,2014-08-27 12:15:19,25,F,Canada,unknown,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,unknown,unknown,unknown,unceratin,No,Some of them,Yes,No,Maybe,unknown,No,unknown,63.0,Female
95,2014-08-27 12:15:30,29,male,United States,MN,No,No,No,Never,26-100,No,Yes,unknown,No,No,unknown,unknown,unknown,No,No,Yes,Yes,Maybe,Maybe,No,No,unknown,63.0,Male
96,2014-08-27 12:16:21,24,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,unknown,unknown,No,unknown,unknown,Somewhat easy,unceratin,unceratin,Some of them,No,No,Maybe,unknown,No,unknown,63.0,Male
97,2014-08-27 12:17:01,31,male,Mexico,unknown,No,Yes,Yes,Sometimes,6-25,No,Yes,unknown,No,No,No,unknown,unknown,No,No,Some of them,Yes,Maybe,Yes,No,No,unknown,15.0,Male
98,2014-08-27 12:18:02,33,Cis Male,United States,AZ,No,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,unknown,Somewhat easy,unceratin,No,Some of them,No,No,Maybe,No,No,unknown,15.0,Male
99,2014-08-27 12:18:04,30,M,United States,IN,No,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,unknown,3.0,Male
100,2014-08-27 12:18:14,26,female,Canada,unknown,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.,63.0,Female
101,2014-08-27 12:18:38,44,Female,United States,MA,No,No,No,Never,100-500,No,Yes,Yes,unknown,unknown,unknown,unknown,unknown,unceratin,unceratin,No,Some of them,No,No,unknown,No,unknown,300.0,Female
102,2014-08-27 12:19:52,25,Male,United States,NY,No,Yes,No,Sometimes,26-100,No,Yes,unknown,No,unknown,unknown,unknown,Very easy,No,No,Some of them,Yes,No,No,unknown,No,unknown,63.0,Male
103,2014-08-27 12:20:10,33,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,unknown,63.0,Male
104,2014-08-27 12:22:55,29,Male,United States,NY,No,No,No,Never,More than 1000,No,Yes,Yes,unknown,Yes,unknown,unknown,Somewhat easy,No,No,Some of them,Yes,No,No,unknown,No,unknown,1001.0,Male
105,2014-08-27 12:23:48,35,Male,United States,MO,No,Yes,No,Rarely,6-25,No,Yes,Yes,unknown,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,unknown,No,unknown,15.0,Male
106,2014-08-27 12:23:59,35,M,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,unknown,unknown,No,No,unknown,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.,63.0,Male
107,2014-08-27 12:25:09,28,Male,Brazil,unknown,No,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,unknown,unceratin,No,Yes,Yes,No,No,unknown,Yes,unknown,15.0,Male
108,2014-08-27 12:28:12,34,m,United States,TN,No,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,unknown,unknown,unceratin,No,No,No,No,No,unknown,No,unknown,15.0,Male
109,2014-08-27 12:28:16,32,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,unceratin,No,Some of them,Yes,No,Maybe,Yes,No,unknown,63.0,Male
110,2014-08-27 12:29:25,22,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,unknown,Yes,unknown,Yes,No,No,No,No,Yes,No,No,unknown,750.0,Male
111,2014-08-27 12:31:02,28,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,unknown,63.0,Male
112,2014-08-27 12:31:03,45,male,United States,MO,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,unknown,15.0,Male
113,2014-08-27 12:31:14,32,Male,United States,NY,No,No,No,Never,100-500,No,Yes,Yes,Yes,No,unknown,unknown,unknown,unceratin,No,Some of them,Some of them,No,No,unknown,No,unknown,300.0,Male
114,2014-08-27 12:31:28,28,male,United States,TX,No,No,No,Sometimes,More than 1000,No,Yes,unknown,No,No,unknown,unknown,unknown,unceratin,No,Some of them,No,No,Maybe,unknown,No,unknown,1001.0,Male
115,2014-08-27 12:31:34,26,Male,United Kingdom,unknown,No,No,No,Never,6-25,No,Yes,unknown,No,No,unknown,unknown,Very easy,No,No,Some of them,Some of them,No,No,unknown,Yes,unknown,15.0,Male
116,2014-08-27 12:31:41,21,Male,United Kingdom,unknown,Yes,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,unknown,3.0,Male
117,2014-08-27 12:31:41,27,Male,Canada,unknown,No,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,unceratin,No,Some of them,Yes,No,No,unknown,No,unknown,15.0,Male
